year,country,rainfall(MM)
1985, Lithuania,59.04226666666668
1986, Lithuania,57.65147500000001
1987, Lithuania,55.752525
1988, Lithuania,52.028933333333335
1989, Lithuania,55.64291666666668
1990, Lithuania,64.47244166666665
1991, Lithuania,49.781200000000005
1992, Lithuania,51.79921666666666
1993, Lithuania,57.99624166666666
1994, Lithuania,56.93711249999999
1995, Lithuania,56.15449999999999
1996, Lithuania,44.678075
1997, Lithuania,55.885175000000004
1998, Lithuania,62.01266666666667
1999, Lithuania,51.12444166666668
2000, Lithuania,50.79025000000001
2001, Lithuania,61.11262500000001
2002, Lithuania,49.824475
2003, Lithuania,50.789208333333335
2004, Lithuania,56.28568333333333
2005, Lithuania,52.37897499999999
2006, Lithuania,49.45853333333333
2007, Lithuania,61.32460833333334
2008, Lithuania,55.38743333333334
2009, Lithuania,59.5055825
2010, Lithuania,68.74300833333334
2011, Lithuania,54.13580000000001
2012, Lithuania,63.714975
2013, Lithuania,55.91841666666665
2014, Lithuania,52.65164166666668
2015, Lithuania,46.349941666666666
2016, Lithuania,62.14059166666666
1985, Finland,44.22244166666667
1986, Finland,45.34307583333333
1987, Finland,44.58719
1988, Finland,47.30083333333332
1989, Finland,45.790725
1990, Finland,41.89861666666666
1991, Finland,47.09674166666667
1992, Finland,51.634158333333325
1993, Finland,42.440974999999995
1994, Finland,42.173920833333334
1995, Finland,45.19529166666666
1996, Finland,43.35896666666667
1997, Finland,40.57910833333334
1998, Finland,55.15328333333334
1999, Finland,44.833425000000005
2000, Finland,50.695183333333325
2001, Finland,45.93425
2002, Finland,39.42021666666666
2003, Finland,42.378683333333335
2004, Finland,51.846000000000004
2005, Finland,49.51647
2006, Finland,39.90721666666667
2007, Finland,50.35905833333334
2008, Finland,54.30888333333335
2009, Finland,42.614425
2010, Finland,44.58228333333333
2011, Finland,50.869775000000004
2012, Finland,56.39219166666666
2013, Finland,42.472591666666666
2014, Finland,43.289674999999995
2015, Finland,50.030041666666655
2016, Finland,52.059850000000004
1985, Russia,35.28901666666666
1986, Russia,34.342416666666665
1987, Russia,34.18091666666667
1988, Russia,35.915016666666666
1989, Russia,37.4463
1990, Russia,38.407266666666665
1991, Russia,35.29865833333333
1992, Russia,34.95843333333334
1993, Russia,35.11195
1994, Russia,36.355650000000004
1995, Russia,36.91725
1996, Russia,34.82545
1997, Russia,36.93538333333334
1998, Russia,36.903725
1999, Russia,35.10845
2000, Russia,36.79644166666667
2001, Russia,36.97538333333333
2002, Russia,36.919958333333334
2003, Russia,35.66096666666667
2004, Russia,37.992808333333336
2005, Russia,35.692391666666666
2006, Russia,37.482841666666666
2007, Russia,38.90921666666667
2008, Russia,38.70275833333333
2009, Russia,36.73836666666667
2010, Russia,37.526116666666674
2011, Russia,36.74545833333333
2012, Russia,37.57541666666666
2013, Russia,38.9789
2014, Russia,37.24846666666667
2015, Russia,37.91771666666667
2016, Russia,37.13207499999999
1985, France,59.441808333333334
1986, France,72.50506666666665
1987, France,74.40588333333334
1988, France,76.77731666666666
1989, France,55.45976666666667
1990, France,63.71246666666667
1991, France,59.129025000000006
1992, France,72.88495833333333
1993, France,74.29596666666667
1994, France,79.627775
1995, France,72.82951666666666
1996, France,70.70507500000001
1997, France,66.08849166666667
1998, France,67.68672500000001
1999, France,82.339075
2000, France,79.69064999999999
2001, France,74.825625
2002, France,78.31677499999999
2003, France,59.794075
2004, France,65.65230000000001
2005, France,56.166666666666664
2006, France,68.37119166666668
2007, France,69.71705833333334
2008, France,77.79785833333334
2009, France,66.50951666666667
2010, France,69.48429166666668
2011, France,59.784
2012, France,72.03486666666667
2013, France,78.36311666666667
2014, France,76.77444166666668
2015, France,58.44833333333333
2016, France,67.98076666666667
1985, Thailand,126.55040833333334
1986, Thailand,121.75698083333334
1987, Thailand,120.77944333333333
1988, Thailand,141.8643
1989, Thailand,115.46895333333335
1990, Thailand,124.44353083333334
1991, Thailand,116.25052166666666
1992, Thailand,112.25554166666667
1993, Thailand,108.23831166666668
1994, Thailand,136.64568583333335
1995, Thailand,135.6553575
1996, Thailand,144.26754833333334
1997, Thailand,113.02123333333334
1998, Thailand,121.03127083333334
1999, Thailand,144.8937
2000, Thailand,144.3552
2001, Thailand,129.99285083333334
2002, Thailand,134.56066833333333
2003, Thailand,124.78299750000001
2004, Thailand,117.586425
2005, Thailand,127.86801916666667
2006, Thailand,138.46848333333332
2007, Thailand,136.24394166666667
2008, Thailand,139.82856666666666
2009, Thailand,134.04667249999997
2010, Thailand,133.699275
2011, Thailand,164.49693333333335
2012, Thailand,125.77215833333332
2013, Thailand,140.32392499999997
2014, Thailand,117.69373666666662
2015, Thailand,111.80708333333332
2016, Thailand,131.76405416666665
1985, South Africa,41.950179166666665
1986, South Africa,35.678360000000005
1987, South Africa,39.30757583333333
1988, South Africa,49.45986833333334
1989, South Africa,42.68635833333334
1990, South Africa,32.38768916666666
1991, South Africa,42.241884999999996
1992, South Africa,26.064564999999998
1993, South Africa,37.356516666666664
1994, South Africa,32.32416583333334
1995, South Africa,41.745645
1996, South Africa,47.299274166666656
1997, South Africa,40.775825
1998, South Africa,41.20509916666666
1999, South Africa,36.159304166666665
2000, South Africa,52.038024166666666
2001, South Africa,44.87923083333334
2002, South Africa,34.07569166666667
2003, South Africa,30.047780833333334
2004, South Africa,38.9772275
2005, South Africa,32.082741666666664
2006, South Africa,48.38343916666667
2007, South Africa,34.92915583333333
2008, South Africa,36.06312166666667
2009, South Africa,40.484516666666664
2010, South Africa,39.806620833333334
2011, South Africa,46.4936275
2012, South Africa,38.130343333333336
2013, South Africa,33.83125999999999
2014, South Africa,38.47278416666668
2015, South Africa,28.20555416666666
2016, South Africa,33.824712500000004
